,Aire acondicionado,Altura sótano,Ancho de calle,Año de construcción,Año de reforma,Base,Baños a medias por encima ,Baños a medias sótano,Baños enteros por encima,Baños enteros sótano,Calidad chimeneas,Calidad cocina,Calidad garaje,Calidad materiales,Calidad materiales exterior,Calidad vivienda,Calidad y condición de la calefacción,Calidad y condición piscina,Callejón,Cantidad bloques pies cuadrados,Chimeneas,Clasificación,Clasificación sótano zona1,Clasificación sótano zona2,Coches garaje,Cocina por encima,Condición 1,Condición 2,Condición garaje,Condición materiales exterior,Condición sótano,Condición venta,Dormitorios por encima,Estilo tejado,Funcionalidad casa,Geografía del terreno,Localización,Material tejado,Otras características,Pavimento,Pavimento entrada coche,Pendiente,Pes cuadr. baja calidad,Pes cuadr. totales (sin garaje),Pies cuadr. cerramiento,Pies cuadr. cubierta madera,Pies cuadr. piscina,Pies cuadr. poche abierto,Pies cuadr. porcha cerrado,Pies cuadr. segundo piso,Pies cuadr. sótano sin acabar,Pies cuadr. z1 sótano,Pies cuadr. z2 sótano,Pies cuadrados terreno,Plantas,Precio mensual,PrecioAnual,Primer revestimiento exterior,Puertecita sótano,Relieve,ScreenPorch,Segundo revestimiento exterior,Sistema eléctrico,Situación garaje,Tipo de bloque,Tipo de calefacción,Tipo de garaje,Tipo de venta,Tipo de vivienda,Total pies cuadr. sótano,Valla,Valor otras caract.,Vecindario,Zona,PrecioDeVenta
0,Y,Gd,65.0,2003,2003,PConc,1,0.0,2,1.0,None,Gd,TA,5,Gd,7,Ex,None,None,196.0,0,60,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1710,0,0,0,61,0,854,150.0,706.0,0.0,8450,2Story,2,2008,VinylSd,No,Reg,0,VinylSd,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,856.0,None,0,CollgCr,RL,208500
1,Y,Gd,80.0,1976,1976,CBlock,0,1.0,2,0.0,TA,TA,TA,8,TA,6,Ex,None,None,0.0,1,20,ALQ,Unf,2.0,1,Feedr,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,FR2,CompShg,None,Pave,Y,Gtl,0,1262,0,298,0,0,0,0,284.0,978.0,0.0,9600,1Story,5,2007,MetalSd,Gd,Reg,0,MetalSd,SBrkr,RFn,None,GasA,Attchd,WD,1Fam,1262.0,None,0,Veenker,RL,181500
2,Y,Gd,68.0,2001,2002,PConc,1,0.0,2,1.0,TA,Gd,TA,5,Gd,7,Ex,None,None,162.0,1,60,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1786,0,0,0,42,0,866,434.0,486.0,0.0,11250,2Story,9,2008,VinylSd,Mn,IR1,0,VinylSd,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,920.0,None,0,CollgCr,RL,223500
3,Y,TA,60.0,1915,1970,BrkTil,0,0.0,1,1.0,Gd,Gd,TA,5,TA,7,Gd,None,None,0.0,1,70,ALQ,Unf,3.0,1,Norm,Norm,TA,TA,Gd,Abnorml,3,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1717,0,0,0,35,272,756,540.0,216.0,0.0,9550,2Story,2,2006,Wd Sdng,No,IR1,0,Wd Shng,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,756.0,None,0,Crawfor,RL,140000
4,Y,Gd,84.0,2000,2000,PConc,1,0.0,2,1.0,TA,Gd,TA,5,Gd,8,Ex,None,None,350.0,1,60,GLQ,Unf,3.0,1,Norm,Norm,TA,TA,TA,Normal,4,Gable,Typ,Lvl,FR2,CompShg,None,Pave,Y,Gtl,0,2198,0,192,0,84,0,1053,490.0,655.0,0.0,14260,2Story,12,2008,VinylSd,Av,IR1,0,VinylSd,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,1145.0,None,0,NoRidge,RL,250000
5,Y,Gd,85.0,1993,1995,Wood,1,0.0,1,1.0,None,TA,TA,5,TA,5,Ex,None,None,0.0,0,50,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,1,Gable,Typ,Lvl,Inside,CompShg,Shed,Pave,Y,Gtl,0,1362,320,40,0,30,0,566,64.0,732.0,0.0,14115,1.5Fin,10,2009,VinylSd,No,IR1,0,VinylSd,SBrkr,Unf,None,GasA,Attchd,WD,1Fam,796.0,MnPrv,700,Mitchel,RL,143000
6,Y,Ex,75.0,2004,2005,PConc,0,0.0,2,1.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,186.0,1,20,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1694,0,255,0,57,0,0,317.0,1369.0,0.0,10084,1Story,8,2007,VinylSd,Av,Reg,0,VinylSd,SBrkr,RFn,Stone,GasA,Attchd,WD,1Fam,1686.0,None,0,Somerst,RL,307000
7,Y,Gd,80.0,1973,1973,CBlock,1,0.0,2,1.0,TA,TA,TA,6,TA,7,Ex,None,None,240.0,2,60,ALQ,BLQ,2.0,1,PosN,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Corner,CompShg,Shed,Pave,Y,Gtl,0,2090,0,235,0,204,228,983,216.0,859.0,32.0,10382,2Story,11,2009,HdBoard,Mn,IR1,0,HdBoard,SBrkr,RFn,Stone,GasA,Attchd,WD,1Fam,1107.0,None,350,NWAmes,RL,200000
8,Y,TA,51.0,1931,1950,BrkTil,0,0.0,2,0.0,TA,TA,Fa,5,TA,7,Gd,None,None,0.0,2,50,Unf,Unf,2.0,2,Artery,Norm,TA,TA,TA,Abnorml,2,Gable,Min1,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1774,0,90,0,0,205,752,952.0,0.0,0.0,6120,1.5Fin,4,2008,BrkFace,No,Reg,0,Wd Shng,FuseF,Unf,None,GasA,Detchd,WD,1Fam,952.0,None,0,OldTown,RM,129900
9,Y,TA,50.0,1939,1950,BrkTil,0,0.0,1,1.0,TA,TA,Gd,6,TA,5,Ex,None,None,0.0,2,190,GLQ,Unf,1.0,2,Artery,Artery,TA,TA,TA,Normal,2,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1077,0,0,0,4,0,0,140.0,851.0,0.0,7420,1.5Unf,1,2008,MetalSd,No,Reg,0,MetalSd,SBrkr,RFn,None,GasA,Attchd,WD,2fmCon,991.0,None,0,BrkSide,RL,118000
10,Y,TA,70.0,1965,1965,CBlock,0,0.0,1,1.0,None,TA,TA,5,TA,5,Ex,None,None,0.0,0,20,Rec,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,3,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1040,0,0,0,0,0,0,134.0,906.0,0.0,11200,1Story,2,2008,HdBoard,No,Reg,0,HdBoard,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,1040.0,None,0,Sawyer,RL,129500
11,Y,Ex,85.0,2005,2006,PConc,0,0.0,3,1.0,Gd,Ex,TA,5,Ex,9,Ex,None,None,286.0,2,60,GLQ,Unf,3.0,1,Norm,Norm,TA,TA,TA,Partial,4,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,2324,0,147,0,21,0,1142,177.0,998.0,0.0,11924,2Story,7,2006,WdShing,No,IR1,0,Wd Shng,SBrkr,Fin,Stone,GasA,BuiltIn,New,1Fam,1175.0,None,0,NridgHt,RL,345000
12,Y,TA,72.0,1962,1962,CBlock,0,0.0,1,1.0,None,TA,TA,6,TA,5,TA,None,None,0.0,0,20,ALQ,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,2,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,912,0,140,0,0,0,0,175.0,737.0,0.0,12968,1Story,9,2008,HdBoard,No,IR2,176,Plywood,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,912.0,None,0,Sawyer,RL,144000
13,Y,Gd,91.0,2006,2007,PConc,0,0.0,2,0.0,Gd,Gd,TA,5,Gd,7,Ex,None,None,306.0,1,20,Unf,Unf,3.0,1,Norm,Norm,TA,TA,TA,Partial,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1494,0,160,0,33,0,0,1494.0,0.0,0.0,10652,1Story,8,2007,VinylSd,Av,IR1,0,VinylSd,SBrkr,RFn,Stone,GasA,Attchd,New,1Fam,1494.0,None,0,CollgCr,RL,279500
14,Y,TA,73.0,1960,1960,CBlock,1,0.0,1,1.0,Fa,TA,TA,5,TA,6,TA,None,None,212.0,1,20,BLQ,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,2,Hip,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1253,0,0,0,213,176,0,520.0,733.0,0.0,10920,1Story,5,2008,MetalSd,No,IR1,0,MetalSd,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,1253.0,GdWo,0,NAmes,RL,157000
15,Y,TA,51.0,1929,2001,BrkTil,0,0.0,1,0.0,None,TA,TA,8,TA,7,Ex,None,None,0.0,0,45,Unf,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,2,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,854,0,48,0,112,0,0,832.0,0.0,0.0,6120,1.5Unf,7,2007,Wd Sdng,No,Reg,0,Wd Sdng,FuseA,Unf,None,GasA,Detchd,WD,1Fam,832.0,GdPrv,0,BrkSide,RM,132000
16,Y,TA,73.0,1970,1970,CBlock,0,0.0,1,1.0,TA,TA,TA,7,TA,6,Ex,None,None,180.0,1,20,ALQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,2,Gable,Typ,Lvl,CulDSac,CompShg,Shed,Pave,Y,Gtl,0,1004,0,0,0,0,0,0,426.0,578.0,0.0,11241,1Story,3,2010,Wd Sdng,No,IR1,0,Wd Sdng,SBrkr,Fin,BrkFace,GasA,Attchd,WD,1Fam,1004.0,None,700,NAmes,RL,149000
17,Y,None,72.0,1967,1967,Slab,0,0.0,2,0.0,None,TA,TA,5,TA,4,TA,None,None,0.0,0,90,None,None,2.0,2,Norm,Norm,TA,TA,None,Normal,2,Gable,Typ,Lvl,Inside,CompShg,Shed,Pave,Y,Gtl,0,1296,0,0,0,0,0,0,0.0,0.0,0.0,10791,1Story,10,2006,MetalSd,None,Reg,0,MetalSd,SBrkr,Unf,None,GasA,CarPort,WD,Duplex,0.0,None,500,Sawyer,RL,90000
18,Y,TA,66.0,2004,2004,PConc,1,0.0,1,1.0,None,Gd,TA,5,TA,5,Ex,None,None,0.0,0,20,GLQ,Unf,2.0,1,RRAe,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1114,0,0,0,102,0,0,468.0,646.0,0.0,13695,1Story,6,2008,VinylSd,No,Reg,0,VinylSd,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,1114.0,None,0,SawyerW,RL,159000
19,Y,TA,70.0,1958,1965,CBlock,0,0.0,1,0.0,None,TA,TA,6,TA,5,TA,None,None,0.0,0,20,LwQ,Unf,1.0,1,Norm,Norm,TA,TA,TA,Abnorml,3,Hip,Min1,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1339,0,0,0,0,0,0,525.0,504.0,0.0,7560,1Story,5,2009,BrkFace,No,Reg,0,Plywood,SBrkr,Unf,None,GasA,Attchd,COD,1Fam,1029.0,MnPrv,0,NAmes,RL,139000
20,Y,Ex,101.0,2005,2006,PConc,1,0.0,3,0.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,380.0,1,60,Unf,Unf,3.0,1,Norm,Norm,TA,TA,TA,Partial,4,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,2376,0,240,0,154,0,1218,1158.0,0.0,0.0,14215,2Story,11,2006,VinylSd,Av,IR1,0,VinylSd,SBrkr,RFn,BrkFace,GasA,BuiltIn,New,1Fam,1158.0,None,0,NridgHt,RL,325300
21,Y,TA,57.0,1930,1950,PConc,0,0.0,1,0.0,Gd,Gd,TA,7,TA,7,Ex,None,Grvl,0.0,1,45,Unf,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Bnk,Inside,CompShg,None,Pave,N,Gtl,0,1108,0,0,0,0,205,0,637.0,0.0,0.0,7449,1.5Unf,6,2007,Wd Sdng,No,Reg,0,Wd Sdng,FuseF,Unf,None,GasA,Attchd,WD,1Fam,637.0,GdPrv,0,IDOTRR,RM,139400
22,Y,Gd,75.0,2002,2002,PConc,0,0.0,2,0.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,281.0,1,20,Unf,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1795,0,171,0,159,0,0,1777.0,0.0,0.0,9742,1Story,9,2008,VinylSd,No,Reg,0,VinylSd,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,1777.0,None,0,CollgCr,RL,230000
23,Y,Gd,44.0,1976,1976,PConc,0,0.0,1,1.0,TA,TA,TA,7,TA,5,TA,None,None,0.0,1,120,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1060,0,100,0,110,0,0,200.0,840.0,0.0,4224,1Story,6,2007,CemntBd,No,Reg,0,CmentBd,SBrkr,Unf,None,GasA,Attchd,WD,TwnhsE,1040.0,None,0,MeadowV,RM,129900
24,Y,TA,72.0,1968,2001,CBlock,0,0.0,1,1.0,TA,Gd,TA,8,TA,5,Ex,None,None,0.0,1,20,Rec,ALQ,1.0,1,Norm,Norm,TA,Gd,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1060,0,406,0,90,0,0,204.0,188.0,668.0,8246,1Story,5,2010,Plywood,Mn,IR1,0,Plywood,SBrkr,Unf,None,GasA,Attchd,WD,1Fam,1060.0,MnPrv,0,Sawyer,RL,154000
25,Y,Gd,110.0,2007,2007,PConc,0,0.0,2,0.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,640.0,1,20,Unf,Unf,3.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1600,0,0,0,56,0,0,1566.0,0.0,0.0,14230,1Story,7,2009,VinylSd,No,Reg,0,VinylSd,SBrkr,RFn,Stone,GasA,Attchd,WD,1Fam,1566.0,None,0,NridgHt,RL,256300
26,Y,TA,60.0,1951,2000,CBlock,0,1.0,1,0.0,None,Gd,TA,7,TA,5,TA,None,None,0.0,0,20,BLQ,Rec,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,900,0,222,0,32,0,0,180.0,234.0,486.0,7200,1Story,5,2010,Wd Sdng,Mn,Reg,0,Wd Sdng,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,900.0,None,0,NAmes,RL,134800
27,Y,Ex,98.0,2007,2008,PConc,0,0.0,2,1.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,200.0,1,20,GLQ,Unf,3.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1704,0,0,0,50,0,0,486.0,1218.0,0.0,11478,1Story,5,2010,VinylSd,No,Reg,0,VinylSd,SBrkr,RFn,Stone,GasA,Attchd,WD,1Fam,1704.0,None,0,NridgHt,RL,306000
28,Y,TA,47.0,1957,1997,CBlock,0,0.0,1,1.0,Gd,TA,TA,6,TA,5,TA,None,None,0.0,2,20,BLQ,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,2,Gable,Typ,Lvl,CulDSac,CompShg,None,Pave,Y,Gtl,0,1600,0,288,0,258,0,0,207.0,1277.0,0.0,16321,1Story,12,2006,MetalSd,Gd,IR1,0,MetalSd,SBrkr,RFn,None,GasA,Attchd,WD,1Fam,1484.0,None,0,NAmes,RL,207500
29,N,TA,60.0,1927,1950,BrkTil,0,0.0,1,0.0,None,Fa,Fa,6,TA,4,Fa,None,None,0.0,0,30,Unf,Unf,1.0,1,Feedr,RRNn,TA,TA,TA,Normal,1,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,520,0,49,0,0,87,0,520.0,0.0,0.0,6324,1Story,5,2008,MetalSd,No,IR1,0,MetalSd,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,520.0,None,0,BrkSide,RM,68500
30,N,TA,50.0,1920,1950,BrkTil,0,0.0,1,0.0,None,TA,TA,4,TA,4,TA,None,Pave,0.0,0,70,Unf,Unf,1.0,1,Feedr,Norm,Fa,Fa,TA,Normal,3,Gambrel,Typ,Lvl,Inside,CompShg,None,Pave,N,Gtl,0,1317,0,0,0,54,172,668,649.0,0.0,0.0,8500,2Story,7,2008,BrkFace,No,Reg,0,BrkFace,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,649.0,MnPrv,0,IDOTRR,C (all),40000
31,Y,TA,72.0,1966,2006,CBlock,1,0.0,1,0.0,None,Gd,TA,6,TA,5,Gd,None,None,0.0,0,20,Unf,Unf,1.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,CulDSac,CompShg,None,Pave,Y,Gtl,0,1228,0,0,0,65,0,0,1228.0,0.0,0.0,8544,1Story,6,2008,HdBoard,No,IR1,0,HdBoard,SBrkr,Unf,None,GasA,Attchd,WD,1Fam,1228.0,MnPrv,0,Sawyer,RL,149350
32,Y,Ex,85.0,2007,2007,PConc,0,0.0,2,0.0,None,Gd,TA,5,Gd,8,Ex,None,None,0.0,0,20,Unf,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1234,0,0,0,30,0,0,1234.0,0.0,0.0,11049,1Story,1,2008,VinylSd,Av,Reg,0,VinylSd,SBrkr,RFn,None,GasA,Attchd,WD,1Fam,1234.0,None,0,CollgCr,RL,179900
33,Y,TA,70.0,1959,1959,CBlock,1,1.0,1,0.0,Gd,Gd,TA,5,TA,5,Gd,None,None,0.0,1,20,Rec,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,4,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1700,0,0,0,38,0,0,380.0,1018.0,0.0,10552,1Story,4,2010,BrkFace,No,IR1,0,BrkFace,SBrkr,RFn,None,GasA,Attchd,WD,1Fam,1398.0,None,0,NAmes,RL,165500
34,Y,Ex,60.0,2005,2005,PConc,0,0.0,2,1.0,Gd,Ex,TA,5,Ex,9,Ex,None,None,246.0,1,120,GLQ,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,2,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1561,0,203,0,47,0,0,408.0,1153.0,0.0,7313,1Story,8,2007,MetalSd,No,Reg,0,MetalSd,SBrkr,Fin,BrkFace,GasA,Attchd,WD,TwnhsE,1561.0,None,0,NridgHt,RL,277500
35,Y,Ex,108.0,2004,2005,PConc,1,0.0,3,0.0,Gd,Gd,TA,5,Gd,8,Ex,None,None,132.0,1,60,Unf,Unf,3.0,1,Norm,Norm,TA,TA,TA,Normal,4,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,2452,0,113,0,32,0,1320,1117.0,0.0,0.0,13418,2Story,9,2006,VinylSd,Av,Reg,0,VinylSd,SBrkr,Fin,Stone,GasA,BuiltIn,WD,1Fam,1117.0,None,0,NridgHt,RL,309000
36,Y,Gd,112.0,1994,1995,PConc,1,0.0,1,0.0,None,TA,TA,5,TA,5,Ex,None,None,0.0,0,20,Unf,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Gable,Typ,Lvl,Corner,CompShg,None,Pave,Y,Gtl,0,1097,0,392,0,64,0,0,1097.0,0.0,0.0,10859,1Story,6,2009,VinylSd,No,Reg,0,VinylSd,SBrkr,Unf,None,GasA,Attchd,WD,1Fam,1097.0,None,0,CollgCr,RL,145000
37,Y,TA,74.0,1954,1990,CBlock,0,1.0,1,0.0,TA,TA,TA,6,TA,5,Gd,None,None,650.0,1,20,Rec,Unf,2.0,1,Norm,Norm,TA,TA,TA,Normal,3,Hip,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1297,0,0,0,0,0,0,84.0,1213.0,0.0,8532,1Story,10,2009,Wd Sdng,No,Reg,0,Wd Sdng,SBrkr,Fin,BrkFace,GasA,Attchd,WD,1Fam,1297.0,None,0,NAmes,RL,153000
38,Y,TA,68.0,1953,2007,CBlock,0,0.0,1,1.0,None,Gd,TA,7,TA,5,TA,None,None,0.0,0,20,GLQ,Unf,1.0,1,Norm,Norm,TA,Gd,TA,Abnorml,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1057,0,0,0,52,0,0,326.0,731.0,0.0,7922,1Story,1,2010,VinylSd,No,Reg,0,VinylSd,SBrkr,Unf,None,GasA,Detchd,WD,1Fam,1057.0,None,0,NAmes,RL,109000
39,N,None,65.0,1955,1955,PConc,0,0.0,2,0.0,None,Fa,None,5,TA,4,TA,None,None,0.0,0,90,None,None,0.0,2,Norm,Norm,None,TA,None,AdjLand,2,Gable,Typ,Lvl,Inside,CompShg,None,Pave,N,Gtl,0,1152,0,0,0,0,0,0,0.0,0.0,0.0,6040,1Story,6,2008,AsbShng,None,Reg,0,Plywood,FuseP,None,None,GasA,None,WD,Duplex,0.0,None,0,Edwards,RL,82000
40,Y,TA,84.0,1965,1965,CBlock,0,0.0,2,0.0,TA,TA,TA,5,TA,6,Ex,None,None,101.0,1,20,Rec,Unf,2.0,1,Norm,Norm,TA,TA,TA,Abnorml,3,Gable,Typ,Lvl,Inside,CompShg,None,Pave,Y,Gtl,0,1324,0,0,0,138,0,0,445.0,643.0,0.0,8658,1Story,12,2006,Wd Sdng,No,Reg,0,Wd Sdng,SBrkr,RFn,BrkFace,GasA,Attchd,WD,1Fam,1088.0,GdWo,0,NAmes,RL,160000
