,SalePrice
0,87000
1,110000
2,172400
3,244600
4,120500
5,185900
6,143000
7,67000
8,148000
9,154000
10,119000
11,110000
12,325624
13,154000
14,143000
15,130500
16,154000
17,140000
18,178900
19,134500
20,272000
21,159000
22,105900
23,140000
24,120000
25,205000
26,139000
27,220000
28,145000
29,175000
30,139000
31,173000
32,139000
33,185000
34,275000
35,275000
36,140000
37,60000
38,135000
39,144000
40,154300
41,290000
42,190000
43,279500
44,168000
45,320000
46,167500
47,235000
48,333168
49,215000
50,154000
51,124000
52,253293
53,122000
54,190000
55,168000
56,145000
57,318000
58,122000
59,157000
60,141000
61,190000
62,127500
63,174000
64,139000
65,160000
66,377426
67,127500
68,144000
69,147000
70,176485
71,168000
72,437154
73,115000
74,132000
75,173000
76,156000
77,192500
78,120500
79,154000
80,145000
81,145000
82,325000
83,275000
84,144000
85,107500
86,348000
87,170000
88,207000
89,160000
90,81000
91,60000
92,156000
93,266000
94,325300
95,266000
96,275000
97,215000
98,102000
99,115000
100,235128
101,122000
102,178000
103,262500
104,169000
105,185000
106,151000
107,158000
108,98000
109,115000
110,120000
111,178000
112,207500
113,167000
114,158000
115,115000
116,173900
117,154000
118,160000
119,154000
120,268000
121,117000
122,115000
123,262500
124,145000
125,219500
126,119000
127,100000
128,145000
129,135500
130,130500
131,285000
132,124000
133,138500
134,128000
135,307000
136,103600
137,165500
138,148500
139,157000
140,200500
141,160000
142,217000
143,141000
144,260000
145,157500
146,190000
147,266000
148,266000
149,124000
150,148500
151,130000
152,200000
153,190000
154,173500
155,173000
156,34900
157,175000
158,219500
159,148500
160,139000
161,167000
162,143000
163,192000
164,160000
165,272000
166,100000
167,135960
168,180000
169,234000
170,140000
171,260000
172,148000
173,341000
174,122000
175,110000
176,143000
177,180000
178,225000
179,80000
180,162000
181,199900
182,270000
183,143000
184,240000
185,127500
186,236500
187,55993
188,145000
189,174000
190,140000
191,370878
192,192000
193,120500
194,270000
195,280000
196,381000
197,120000
198,190000
199,100000
200,181000
201,177500
202,110000
203,215000
204,165000
205,235000
206,213000
207,154000
208,280000
209,134500
210,80000
211,112000
212,107500
213,143000
214,130000
215,152000
216,325000
217,88000
218,165000
219,167500
220,180000
221,181000
222,175000
223,189000
224,105900
225,466500
226,139000
227,86000
228,110000
229,148000
230,181000
231,112000
232,163000
233,105000
234,235000
235,122000
236,162000
237,148500
238,235000
239,228500
240,115000
241,148500
242,112000
243,190000
244,78000
245,402861
246,140000
247,82500
248,100000
249,109900
250,172400
251,156000
252,140000
253,235000
254,176000
255,113000
256,109900
257,139000
258,135000
259,135000
260,270000
261,202500
262,168000
263,146000
264,262500
265,115000
266,130500
267,115000
268,124500
269,350000
270,105000
271,141000
272,185000
273,115000
274,177500
275,280000
276,197900
277,205000
278,130000
279,158000
280,88000
281,153900
282,110000
283,176000
284,149900
285,115000
286,268000
287,225000
288,239000
289,279500
290,143000
291,115000
292,156000
293,250000
294,187100
295,156000
296,141000
297,144000
298,156000
299,290000
300,205950
301,107500
302,142000
303,140000
304,135000
305,130250
306,189000
307,154000
308,87000
309,154000
310,235000
311,270000
312,168000
313,157500
314,225000
315,159000
316,115000
317,125000
318,123000
319,160000
320,162900
321,107500
322,78000
323,115000
324,208900
325,233000
326,128000
