,SalePrice
0,87000
1,130000
2,210000
3,147000
4,125500
5,185900
6,143000
7,67000
8,128500
9,137500
10,110000
11,55993
12,446261
13,301000
14,133000
15,159000
16,154000
17,80000
18,167500
19,139400
20,169500
21,159000
22,105900
23,167500
24,154000
25,205000
26,139000
27,203000
28,145000
29,143000
30,127000
31,179900
32,139000
33,208300
34,392500
35,315000
36,167500
37,100000
38,135000
39,144000
40,155000
41,290000
42,151500
43,279500
44,180000
45,438780
46,167500
47,171000
48,333168
49,325000
50,137500
51,139000
52,611657
53,122000
54,167500
55,150000
56,145000
57,318000
58,129500
59,205000
60,143000
61,205000
62,143000
63,174000
64,105000
65,160000
66,325000
67,81000
68,144000
69,179000
70,176485
71,150000
72,222000
73,100000
74,132000
75,165600
76,133000
77,192000
78,125500
79,154000
80,145000
81,145000
82,118000
83,392500
84,144000
85,137000
86,348000
87,167900
88,234000
89,149000
90,81000
91,60000
92,137500
93,266000
94,325000
95,319900
96,275000
97,271000
98,112000
99,135000
100,198500
101,122000
102,178000
103,239000
104,174000
105,223500
106,177500
107,136000
108,98000
109,128000
110,120000
111,219500
112,207500
113,144000
114,142500
115,141000
116,173900
117,154000
118,180000
119,137500
120,268000
121,155000
122,105000
123,224000
124,145000
125,219500
126,155000
127,100000
128,145000
129,137500
130,142500
131,325000
132,124000
133,143000
134,128000
135,227000
136,161000
137,165500
138,146000
139,180000
140,187500
141,160000
142,143000
143,141000
144,240000
145,157500
146,194500
147,318061
148,318061
149,124000
150,155000
151,133000
152,154300
153,151500
154,185500
155,173000
156,35311
157,175000
158,178000
159,146000
160,155000
161,143000
162,157500
163,193000
164,160000
165,225000
166,64500
167,144000
168,205000
169,234000
170,140000
171,241500
172,133000
173,341000
174,122000
175,125000
176,143000
177,165600
178,250000
179,129900
180,162000
181,199900
182,310000
183,143000
184,240000
185,118000
186,236500
187,55993
188,135000
189,174000
190,124000
191,370878
192,193000
193,120500
194,165000
195,354000
196,165400
197,128000
198,268000
199,100000
200,181000
201,212000
202,137000
203,215000
204,124500
205,325000
206,189000
207,154000
208,315000
209,160000
210,79000
211,135000
212,105000
213,142500
214,130000
215,108480
216,325000
217,115000
218,159000
219,167500
220,178000
221,181000
222,137500
223,177000
224,116900
225,386250
226,148000
227,110000
228,110000
229,148000
230,165600
231,136000
232,163000
233,128000
234,235000
235,124000
236,157000
237,146000
238,185000
239,230000
240,124000
241,146000
242,137000
243,151500
244,169500
245,345000
246,80000
247,135000
248,137000
249,80500
250,172400
251,156000
252,105000
253,235000
254,176000
255,88000
256,144000
257,136000
258,160000
259,120000
260,266000
261,224000
262,170000
263,145000
264,224000
265,102000
266,130000
267,125500
268,160000
269,325000
270,105000
271,141000
272,185000
273,80000
274,177500
275,325000
276,175500
277,155000
278,147000
279,301000
280,115000
281,153900
282,130000
283,154000
284,149900
285,141000
286,268000
287,225000
288,248900
289,279500
290,136500
291,124000
292,188000
293,199900
294,191000
295,135000
296,141000
297,144000
298,133000
299,190000
300,340000
301,137000
302,155000
303,151000
304,124000
305,130250
306,212000
307,154000
308,87000
309,154000
310,745000
311,307000
312,150000
313,157500
314,181000
315,159000
316,124000
317,125000
318,123000
319,160000
320,152000
321,101800
322,219500
323,124000
324,208900
325,239500
326,128000
327,174000
328,136500
329,179900
330,135000
331,133000
332,188000
333,116050
334,290000
335,268000
336,179000
337,108000
338,112000
339,155000
340,97000
341,184000
342,160000
343,250000
344,168000
345,200000
346,143000
347,227000
348,235000
349,140000
350,145000
351,252000
352,157500
353,97000
354,128000
355,152000
356,325000
357,105000
358,178000
359,124000
360,155000
361,143000
362,91000
363,141000
364,105000
365,135000
366,161000
367,154000
368,325000
369,190000
370,180500
371,325300
372,155000
373,175000
374,141000
375,202500
376,137000
377,132000
378,192000
379,110000
380,180000
381,215000
382,146000
383,105000
384,140000
385,220000
386,127000
387,171000
388,120000
389,175500
390,183200
391,124000
392,137000
393,135000
394,67000
395,188000
396,87000
397,148000
398,145000
399,239799
400,161000
401,137500
402,113000
403,197000
404,137000
405,325000
406,160000
407,130000
408,163000
409,225000
410,250580
411,271000
412,178000
413,225000
414,230000
415,143000
416,98000
417,125000
418,190000
419,180000
420,154000
421,240000
422,136000
423,148000
424,377426
425,324000
426,135000
427,325000
428,116000
429,161000
430,104900
431,167500
432,133000
433,240000
434,52500
435,118000
436,108000
437,112000
438,120000
439,114500
440,179540
441,148000
442,167500
443,181000
444,141000
445,340000
446,145000
447,350000
448,140000
449,155000
450,141000
451,125000
452,325000
453,128000
454,207500
455,120000
456,175000
457,215000
458,144000
459,150000
460,315000
461,185000
462,136000
463,136000
464,190000
465,87000
466,128000
467,225000
468,325000
469,144000
470,155000
471,100000
472,80500
473,154000
474,164000
475,147000
476,170000
477,171000
478,175000
479,128500
480,315000
481,137000
482,116050
483,325300
484,123000
485,188500
486,129000
487,95000
488,340000
489,52500
490,325000
491,179000
492,150000
493,128000
494,252000
495,137000
496,124000
497,325000
498,315000
499,340000
500,95000
501,144000
502,446261
503,175000
504,190000
505,185000
506,160000
507,207500
508,190000
509,67000
510,207500
511,80500
512,118000
513,236500
514,105000
515,52500
516,174000
517,159000
518,124000
519,115000
520,275000
521,377426
522,181000
523,106000
524,152000
525,155000
526,114500
527,151000
528,412500
529,240000
530,160200
531,157500
532,318000
533,159000
534,89000
535,215000
536,130000
537,260000
538,126500
539,188500
540,204750
541,112000
542,201000
543,137000
544,151000
545,226000
546,137000
547,190000
548,149000
549,119500
550,148000
551,142500
552,127000
553,87500
554,148000
555,325624
556,110000
557,209500
558,197000
559,80000
560,125500
561,345000
562,162000
563,190000
564,130000
565,130000
566,275000
567,145000
568,226000
569,160000
570,137500
571,127500
572,122000
573,120000
574,135000
575,87500
576,175500
577,125000
578,192000
579,122000
580,263000
581,154000
582,141000
583,67000
584,55000
585,151500
586,239000
587,325000
588,120000
589,325000
590,129500
591,133700
592,230000
593,167500
594,110000
595,202500
596,148000
597,178000
598,324000
599,188000
600,100000
601,235000
602,178000
603,227000
604,128000
605,315750
606,226000
607,171000
608,159895
609,250000
610,135000
611,160000
612,192500
613,127000
614,133000
615,205000
616,115000
617,250000
618,145000
619,145000
620,140000
621,170000
622,116000
623,148000
624,176000
625,325000
626,162000
627,140000
628,154000
629,137500
630,128000
631,192000
632,154000
633,110000
634,392500
635,122000
636,301000
637,152000
638,122000
639,154000
640,340000
641,100000
642,318061
643,188000
644,260000
645,214000
646,154000
647,100000
648,130000
649,149900
650,80500
651,185000
652,275000
653,128500
654,115000
655,235000
656,88000
657,140000
658,172500
659,143000
660,127000
661,124000
662,155000
663,132000
664,240000
665,224000
666,98000
667,188000
668,154300
669,136500
670,207500
671,102000
672,207500
673,199900
674,97000
675,110500
676,60000
677,127500
678,202500
679,155000
680,275000
681,174000
682,105000
683,148000
684,145000
685,82500
686,235000
687,139000
688,227875
689,97000
690,225000
691,124000
692,160000
693,67000
694,385000
695,139000
696,137000
697,173000
698,207500
699,155000
700,148000
701,155000
702,178000
703,139000
704,91000
705,155000
706,122000
707,155000
708,180000
709,207500
710,127000
711,85400
712,225000
713,147000
714,126000
715,105000
716,174000
717,224000
718,178000
719,275000
720,266000
721,80500
722,377426
723,190000
724,140000
725,197000
726,118964
727,227000
728,133000
729,140000
730,325000
731,324000
732,92000
733,174000
734,226000
735,150000
736,115000
737,107000
738,109500
739,139000
740,214000
741,130000
742,171000
743,216000
744,157500
745,208900
746,149900
747,110000
748,319900
749,135000
750,110000
751,171000
752,151500
753,90000
754,339750
755,137000
756,190000
757,115000
758,133000
759,325000
760,145000
761,106000
762,268000
763,240000
764,132000
765,315750
766,116000
767,275000
768,377426
769,319900
770,174000
771,110000
772,244000
773,180000
774,225000
775,137500
776,136500
777,208300
778,132500
779,310000
780,312500
781,178000
782,167500
783,136500
784,146000
785,135000
786,154000
787,179000
788,154000
789,100000
790,192000
791,100000
792,206300
793,240000
794,194700
795,175500
796,230000
797,207500
798,412500
799,190000
800,129000
801,87500
802,278000
803,209500
804,392500
805,149300
806,180500
807,224000
808,154000
809,154000
810,139000
811,122000
812,230000
813,135000
814,194500
815,137500
816,159000
817,265979
818,144152
819,106000
820,220000
821,160000
822,87000
823,219500
824,226000
825,315000
826,154000
827,200141
828,141000
829,250580
830,440000
831,275000
832,140000
833,129500
834,132000
835,135000
836,108480
837,147400
838,128000
839,160000
840,149700
841,125000
842,350000
843,125000
844,122500
845,115000
846,319900
847,239000
848,200500
849,244000
850,230000
851,112000
852,163000
853,217000
854,114500
855,200500
856,128000
857,130000
858,190000
859,143000
860,214000
861,116050
862,137500
863,154000
864,155000
865,260000
866,197900
867,83000
868,155000
869,140000
870,125500
871,80500
872,154000
873,154300
874,200500
875,230000
876,149000
877,126000
878,144000
879,114500
880,184000
881,155000
882,139000
883,115000
884,102000
885,113000
886,145000
887,412500
888,155000
889,233170
890,174000
891,147000
892,125500
893,340000
894,140000
895,215000
896,244000
897,137500
898,87000
899,145000
900,108480
901,109900
902,451950
903,263435
904,271000
905,160000
906,139000
907,145000
908,145000
909,223500
910,155000
911,106000
912,155835
913,318061
914,165600
915,175500
916,124000
917,120000
918,161000
919,130000
920,232000
921,145000
922,120000
923,199900
924,172500
925,159950
926,228000
927,162000
928,124500
929,82500
930,84500
931,155000
932,167500
933,128000
934,109500
935,80000
936,145000
937,160000
938,159000
939,161000
940,194500
941,154000
942,125500
943,128000
944,230000
945,140000
946,145000
947,149300
948,137000
949,190000
950,115000
951,129000
952,133000
953,190000
954,147000
955,150000
956,129900
957,122000
958,301000
959,180500
960,180500
961,141000
962,280000
963,98000
964,144900
965,148000
966,223500
967,345000
968,110000
969,120500
970,194700
971,125500
972,139000
973,150000
974,179900
975,167900
976,155000
977,112000
978,155000
979,137000
980,315000
981,440000
982,219500
983,110000
984,315000
985,309000
986,240000
987,129000
988,159895
989,136000
990,124000
991,240000
992,232000
993,245350
994,265900
995,212000
996,113000
997,106000
998,67000
999,129500
1000,167900
1001,135000
1002,140000
1003,118000
1004,392500
1005,100000
1006,133000
1007,350000
1008,222000
1009,87500
1010,135000
1011,197000
1012,102000
1013,160000
1014,225000
1015,133000
1016,208300
1017,178000
1018,230000
1019,380000
1020,143000
1021,359100
1022,179000
1023,174000
1024,176485
1025,180000
1026,325300
1027,137000
1028,137500
1029,115000
1030,140000
1031,207500
1032,263000
1033,140000
1034,165000
1035,82000
1036,136000
1037,187100
1038,147000
1039,146000
1040,190000
1041,105900
1042,80000
1043,219500
1044,109008
1045,172400
1046,87500
1047,136500
1048,178000
1049,143000
1050,167900
1051,60000
1052,148000
1053,345000
1054,144000
1055,110000
1056,110000
1057,149000
1058,107900
1059,127000
1060,271000
1061,203000
1062,271000
1063,141000
1064,222500
1065,52500
1066,220000
1067,155000
1068,160000
1069,275000
1070,180000
1071,147400
1072,392500
1073,115000
1074,180000
1075,160000
1076,120500
1077,83000
1078,154000
1079,99500
1080,205000
1081,235000
1082,152000
1083,147000
1084,315000
1085,154300
1086,312500
1087,160000
1088,180000
1089,139000
1090,350000
1091,137000
1092,229456
1093,171000
1094,137000
1095,81000
1096,163000
1097,142500
1098,137500
1099,118000
1100,175900
1101,167500
1102,225000
1103,152000
1104,128000
1105,137500
1106,275000
1107,272000
1108,157000
1109,385000
1110,198500
1111,100000
1112,236500
1113,154000
1114,222500
1115,160000
1116,136000
1117,100000
1118,133000
1119,141000
1120,212000
1121,136500
1122,235000
1123,275000
1124,124000
1125,205000
1126,185000
1127,135000
1128,152000
1129,90000
1130,67000
1131,215000
1132,140000
1133,100000
1134,315000
1135,137000
1136,130000
1137,195400
1138,318061
1139,128000
1140,134500
1141,140000
1142,141000
1143,207500
1144,163990
1145,318000
1146,82500
1147,208900
1148,236000
1149,151000
1150,315500
1151,180000
1152,133000
1153,143000
1154,133000
1155,104900
1156,179000
1157,109500
1158,110000
1159,350000
1160,315000
1161,181000
1162,127000
1163,52500
1164,105000
1165,240000
1166,155000
1167,100000
1168,139000
1169,80500
1170,110000
1171,129000
1172,213000
1173,149000
1174,98000
1175,180000
1176,171000
1177,280000
1178,139000
1179,129000
1180,150000
1181,256300
1182,225000
1183,160000
1184,239000
1185,109500
1186,227000
1187,130000
1188,268000
1189,325000
1190,144000
1191,100000
1192,154300
1193,118964
1194,140000
1195,143000
1196,110000
1197,97000
1198,224000
1199,110000
1200,110000
1201,127000
1202,125500
1203,192500
1204,124000
1205,192000
1206,160000
1207,271000
1208,116900
1209,248900
1210,214000
1211,225000
1212,129500
1213,271000
1214,124000
1215,88000
1216,122000
1217,160000
1218,122000
1219,129000
1220,145000
1221,219500
1222,255000
1223,275000
1224,207500
1225,160000
1226,162000
1227,135000
1228,179900
1229,192000
1230,109008
1231,97000
1232,210000
1233,199900
1234,341000
1235,104900
1236,215000
1237,149000
1238,161000
1239,140000
1240,105000
1241,88000
1242,80000
1243,120500
1244,162000
1245,130000
1246,278000
1247,350000
1248,139950
1249,144000
1250,318000
1251,152000
1252,172500
1253,87000
1254,106000
1255,173000
1256,143000
1257,148000
1258,142500
1259,97000
1260,180000
1261,87000
1262,116000
1263,127500
1264,213000
1265,140000
1266,325000
1267,93500
1268,154000
1269,100000
1270,110000
1271,167500
1272,200000
1273,147000
1274,178000
1275,163990
1276,127500
1277,200000
1278,188000
1279,130000
1280,173000
1281,250000
1282,230000
1283,160000
1284,128000
1285,143000
1286,325000
1287,110000
1288,149000
1289,125500
1290,164000
1291,167500
1292,187500
1293,275000
1294,125000
1295,115000
1296,160000
1297,177500
1298,124000
1299,181000
1300,225000
1301,167900
1302,197000
1303,153900
1304,195000
1305,268000
1306,216000
1307,147000
1308,325000
1309,200500
1310,181000
1311,154300
1312,241500
1313,82000
1314,112000
1315,108000
1316,110000
1317,143000
1318,176000
1319,81000
1320,128000
1321,136000
1322,139000
1323,130000
1324,179900
1325,181000
1326,207500
1327,312500
1328,174000
1329,235000
1330,266000
1331,159000
1332,108000
1333,210000
1334,136500
1335,160000
1336,112000
1337,200000
1338,141000
1339,194000
1340,149000
1341,108000
1342,144000
1343,392500
1344,207500
1345,124000
1346,145000
1347,98300
1348,124000
1349,185000
1350,124000
1351,180000
1352,154000
1353,106000
1354,144000
1355,339750
1356,236500
1357,230000
1358,135000
1359,148000
1360,129500
1361,244000
1362,115000
1363,240000
1364,341000
1365,149900
1366,438780
1367,142500
1368,64500
1369,745000
1370,79000
1371,160000
1372,115000
1373,136500
1374,171000
1375,315000
1376,152000
1377,171750
1378,155000
1379,213500
1380,191000
1381,132500
1382,140000
1383,180000
1384,81000
1385,130000
1386,165000
1387,147000
1388,153337
1389,115000
1390,129000
1391,315750
1392,235000
1393,87500
1394,124000
1395,386250
1396,144000
1397,104900
1398,205000
1399,136000
1400,215000
1401,227000
1402,81000
1403,97000
1404,145000
1405,174000
1406,136000
1407,144000
1408,192000
1409,200000
1410,148000
1411,172500
1412,133000
1413,164000
1414,325000
1415,153900
1416,139000
1417,154000
1418,137000
1419,268000
1420,122000
1421,326000
1422,206300
1423,141000
1424,241500
1425,240000
1426,119000
1427,220000
1428,55000
1429,143000
1430,133000
1431,135000
1432,139000
1433,130000
1434,179400
1435,181000
1436,137000
1437,275000
1438,118964
1439,255500
1440,220000
1441,137500
1442,207500
1443,136500
1444,141000
1445,132000
1446,139000
1447,153900
1448,60000
1449,275000
1450,214000
1451,130000
1452,144000
1453,136000
1454,227000
1455,67000
1456,224000
1457,184100
1458,165000
